sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,File documentation for residence and migration of first-time undergraduate students: Fall 2022,,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,,,,,,,,,,
Introduction,3,Filename,EF2022C
Introduction,4,  Provisional release:,January 2024
Introduction,5,Filename,EF2022C_RV
Introduction,6,  Final release:,December 2024
Introduction,7,Overview,"This file contains the number of first-time freshmen by state of residence, along with data on the number who graduated from high school the previous year.  Institutions with traditional academic year calendar systems (semester, quarter, trimester or  4-1-4) report their enrollment as of October 15 or the official fall reporting date of the institution. Institutions with calendar systems that differ by program or allow continuous enrollment report students that are enrolled at any time between August 1 and October 31. This file has multiple records per institution.  Records are uniquely defined by the variables IPEDS ID (UNITID), and the state of residence (EFCSTATE).   
",,,,,,,,
Introduction,8,Note,Submission of enrollment of first-time undergraduate students by residency is mandatory in even-numbered years and optional in odd-numbered years. Do not use these data in odd-numbered years to produce national or state estimates as data will not be available from all institutions. Data in optional years are provided to allow users to compare institutional level data among reporting institutions.,,,,,,,,
Introduction,9,,"IPEDS data, including provisional release data and final release data, adhere to rigorous quality control procedures established by NCES. Data are imputed for nonresponding institutions. Provisional release data are used for First Look  web tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. While the final release data offer  the most up to date data, these data may not match tables from the First Look web tables based on provisional release data.  ",,,,,,,,
Introduction,10,Contents of spreadsheet,,,,,,,,,
Introduction,11,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,12,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,13,Frequencies,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(Provisional release),,,,,,,,
Introduction,14,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (Provisional release)",,,,,,,,
Introduction,15,FrequenciesRV,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(Final release),,,,,,,,
Introduction,16,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (Final release)",,,,,,,,
Introduction,17,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
Varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
Varlist,1,1,UNITID,N,6,Cont,,Unique identification number of the institution
Varlist,2,20546,EFCSTATE,N,2,Disc,,State of residence when student was first admitted
Varlist,3,21993,LINE,N,3,Disc,,State of residence  (original line number on survey form)
Varlist,4,20551,EFRES01,N,6,Cont,XEFRES01,First-time degree/certificate-seeking undergraduate students
Varlist,5,20556,EFRES02,N,6,Cont,XEFRES02,First-time degree/certificate-seeking undergraduate students who graduated from high school in the past 12 months
Description,0,varnumber,varname,longDescription
Description,1,1,UNITID,Unique identification number of the institution
Description,2,20546,EFCSTATE,"Residence of First-time Freshmen 
State of residence of first-time, first-year degree-seeking student, when first admitted,
state codes are consistent with state fips codes.

STATE OF RESIDENCE - A person’s permanent address as determined by such evidence as a driver’s license or voter registration. For entering freshmen, state of residence may be the legal state of residence of a parent or guardian."
Frequencies,514,,,,,,
Frequencies,515,,,,,,
Frequencies,516,,,,,,
Frequencies,517,,,,,,
Frequencies,518,,,,,,
Frequencies,519,,,,,,
Frequencies,520,,,,,,
Frequencies,521,,,,,,
Frequencies,522,,,,,,
Frequencies,523,,,,,,
Frequencies,524,,,,,,
Frequencies,525,,,,,,
Frequencies,526,,,,,,
Frequencies,527,,,,,,
Frequencies,528,,,,,,
Frequencies,529,,,,,,
Frequencies,530,,,,,,
Frequencies,531,,,,,,
Frequencies,532,,,,,,
Frequencies,533,,,,,,
Frequencies,534,,,,,,
Frequencies,535,,,,,,
Frequencies,536,,,,,,
Frequencies,537,,,,,,
Frequencies,538,,,,,,
Frequencies,539,,,,,,
Frequencies,540,,,,,,
Frequencies,541,,,,,,
Frequencies,542,,,,,,
Frequencies,543,,,,,,
Frequencies,544,,,,,,
Frequencies,545,,,,,,
Frequencies,546,,,,,,
Frequencies,547,,,,,,
Frequencies,548,,,,,,
Frequencies,549,,,,,,
Frequencies,550,,,,,,
Frequencies,551,,,,,,
Frequencies,552,,,,,,
Frequencies,553,,,,,,
Frequencies,554,,,,,,
Frequencies,555,,,,,,
Frequencies,556,,,,,,
Frequencies,557,,,,,,
Frequencies,558,,,,,,
Frequencies,559,,,,,,
Frequencies,560,,,,,,
Frequencies,561,,,,,,
Frequencies,562,,,,,,
Frequencies,563,,,,,,
Frequencies,564,,,,,,
Frequencies,565,,,,,,
Frequencies,566,,,,,,
Frequencies,567,,,,,,
Frequencies,568,,,,,,
Frequencies,569,,,,,,
Frequencies,570,,,,,,
Frequencies,571,,,,,,
Frequencies,572,,,,,,
Frequencies,573,,,,,,
Frequencies,574,,,,,,
Frequencies,575,,,,,,
Frequencies,576,,,,,,
Frequencies,577,,,,,,
Frequencies,578,,,,,,
Frequencies,579,,,,,,
Frequencies,580,,,,,,
Frequencies,581,,,,,,
Frequencies,582,,,,,,
Frequencies,583,,,,,,
Frequencies,584,,,,,,
Frequencies,585,,,,,,
Frequencies,586,,,,,,
Frequencies,587,,,,,,
Frequencies,588,,,,,,
Frequencies,589,,,,,,
Frequencies,590,,,,,,
Frequencies,591,,,,,,
Frequencies,592,,,,,,
Frequencies,593,,,,,,
Frequencies,594,,,,,,
Frequencies,595,,,,,,
Frequencies,596,,,,,,
Frequencies,597,,,,,,
Frequencies,598,,,,,,
Frequencies,599,,,,,,
Frequencies,600,,,,,,
Frequencies,601,,,,,,
Frequencies,602,,,,,,
Frequencies,603,,,,,,
Frequencies,604,,,,,,
Frequencies,605,,,,,,
Frequencies,606,,,,,,
Frequencies,607,,,,,,
Frequencies,608,,,,,,
Frequencies,609,,,,,,
Frequencies,610,,,,,,
Frequencies,611,,,,,,
Frequencies,612,,,,,,
Frequencies,613,,,,,,
Frequencies,614,,,,,,
Frequencies,615,,,,,,
Frequencies,616,,,,,,
Frequencies,617,,,,,,
Frequencies,618,,,,,,
Frequencies,619,,,,,,
Frequencies,620,,,,,,
Frequencies,621,,,,,,
Frequencies,622,,,,,,
Frequencies,623,,,,,,
Frequencies,624,,,,,,
Frequencies,625,,,,,,
Frequencies,626,,,,,,
Frequencies,627,,,,,,
Frequencies,628,,,,,,
Frequencies,629,,,,,,
Frequencies,630,,,,,,
Frequencies,631,,,,,,
Frequencies,632,,,,,,
Frequencies,633,,,,,,
Frequencies,634,,,,,,
Frequencies,635,,,,,,
Frequencies,636,,,,,,
Frequencies,637,,,,,,
Frequencies,638,,,,,,
Frequencies,639,,,,,,
Frequencies,640,,,,,,
Frequencies,641,,,,,,
Frequencies,642,,,,,,
Frequencies,643,,,,,,
Frequencies,644,,,,,,
Frequencies,645,,,,,,
Frequencies,646,,,,,,
Frequencies,647,,,,,,
Frequencies,648,,,,,,
Frequencies,649,,,,,,
Frequencies,650,,,,,,
Frequencies,651,,,,,,
Frequencies,652,,,,,,
Frequencies,653,,,,,,
Frequencies,654,,,,,,
Frequencies,655,,,,,,
Frequencies,656,,,,,,
Frequencies,657,,,,,,
Frequencies,658,,,,,,
Frequencies,659,,,,,,
Frequencies,660,,,,,,
Frequencies,661,,,,,,
Frequencies,662,,,,,,
Frequencies,663,,,,,,
Frequencies,664,,,,,,
Frequencies,665,,,,,,
Frequencies,666,,,,,,
Frequencies,667,,,,,,
Frequencies,668,,,,,,
Frequencies,669,,,,,,
Frequencies,670,,,,,,
Frequencies,671,,,,,,
Frequencies,672,,,,,,
Frequencies,673,,,,,,
Frequencies,674,,,,,,
Frequencies,675,,,,,,
Frequencies,676,,,,,,
Frequencies,677,,,,,,
Frequencies,678,,,,,,
Frequencies,679,,,,,,
Frequencies,680,,,,,,
Frequencies,681,,,,,,
Frequencies,682,,,,,,
Frequencies,683,,,,,,
Frequencies,684,,,,,,
Frequencies,685,,,,,,
Frequencies,686,,,,,,
Frequencies,687,,,,,,
Frequencies,688,,,,,,
Frequencies,689,,,,,,
Frequencies,690,,,,,,
Frequencies,691,,,,,,
Frequencies,692,,,,,,
Frequencies,693,,,,,,
Frequencies,694,,,,,,
Frequencies,695,,,,,,
Frequencies,696,,,,,,
Frequencies,697,,,,,,
Frequencies,698,,,,,,
Frequencies,699,,,,,,
Frequencies,700,,,,,,
Frequencies,701,,,,,,
Frequencies,702,,,,,,
Frequencies,703,,,,,,
Frequencies,704,,,,,,
Frequencies,705,,,,,,
Frequencies,706,,,,,,
Frequencies,707,,,,,,
Frequencies,708,,,,,,
Frequencies,709,,,,,,
Frequencies,710,,,,,,
Frequencies,711,,,,,,
Frequencies,712,,,,,,
Frequencies,713,,,,,,
Frequencies,714,,,,,,
Frequencies,715,,,,,,
Frequencies,716,,,,,,
Frequencies,717,,,,,,
Frequencies,718,,,,,,
Frequencies,719,,,,,,
Frequencies,720,,,,,,
Frequencies,721,,,,,,
Frequencies,722,,,,,,
Frequencies,723,,,,,,
Frequencies,724,,,,,,
Frequencies,725,,,,,,
Frequencies,726,,,,,,
Frequencies,727,,,,,,
Frequencies,728,,,,,,
Frequencies,729,,,,,,
Frequencies,730,,,,,,
Frequencies,731,,,,,,
Frequencies,732,,,,,,
Frequencies,733,,,,,,
Frequencies,734,,,,,,
Frequencies,735,,,,,,
Frequencies,736,,,,,,
Frequencies,737,,,,,,
Frequencies,738,,,,,,
Frequencies,739,,,,,,
Frequencies,740,,,,,,
Frequencies,741,,,,,,
Frequencies,742,,,,,,
Frequencies,743,,,,,,
Frequencies,744,,,,,,
Frequencies,745,,,,,,
Frequencies,746,,,,,,
Frequencies,747,,,,,,
Frequencies,748,,,,,,
Frequencies,749,,,,,,
Frequencies,750,,,,,,
Frequencies,751,,,,,,
Frequencies,752,,,,,,
Frequencies,753,,,,,,
Frequencies,754,,,,,,
Frequencies,755,,,,,,
Frequencies,756,,,,,,
Frequencies,757,,,,,,
Frequencies,758,,,,,,
Frequencies,759,,,,,,
Frequencies,760,,,,,,
Frequencies,761,,,,,,
Frequencies,762,,,,,,
Frequencies,763,,,,,,
Frequencies,764,,,,,,
Frequencies,765,,,,,,
Frequencies,766,,,,,,
Frequencies,767,,,,,,
Frequencies,768,,,,,,
Frequencies,769,,,,,,
Frequencies,770,,,,,,
Frequencies,771,,,,,,
Frequencies,772,,,,,,
Frequencies,773,,,,,,
Frequencies,774,,,,,,
Frequencies,775,,,,,,
Frequencies,776,,,,,,
Frequencies,777,,,,,,
Frequencies,778,,,,,,
Frequencies,779,,,,,,
Frequencies,780,,,,,,
Frequencies,781,,,,,,
Frequencies,782,,,,,,
Frequencies,783,,,,,,
Frequencies,784,,,,,,
Frequencies,785,,,,,,
Frequencies,786,,,,,,
Frequencies,787,,,,,,
Frequencies,788,,,,,,
Frequencies,789,,,,,,
Frequencies,790,,,,,,
Frequencies,791,,,,,,
Frequencies,792,,,,,,
Frequencies,793,,,,,,
Frequencies,794,,,,,,
Frequencies,795,,,,,,
Frequencies,796,,,,,,
Frequencies,797,,,,,,
Frequencies,798,,,,,,
Frequencies,799,,,,,,
Frequencies,800,,,,,,
Frequencies,801,,,,,,
Frequencies,802,,,,,,
Frequencies,803,,,,,,
Frequencies,804,,,,,,
Frequencies,805,,,,,,
Frequencies,806,,,,,,
Frequencies,807,,,,,,
Frequencies,808,,,,,,
Frequencies,809,,,,,,
Frequencies,810,,,,,,
Frequencies,811,,,,,,
Frequencies,812,,,,,,
Frequencies,813,,,,,,
Frequencies,814,,,,,,
Frequencies,815,,,,,,
Frequencies,816,,,,,,
Frequencies,817,,,,,,
Frequencies,818,,,,,,
Frequencies,819,,,,,,
Frequencies,820,,,,,,
Frequencies,821,,,,,,
Frequencies,822,,,,,,
Frequencies,823,,,,,,
Frequencies,824,,,,,,
Frequencies,825,,,,,,
Frequencies,826,,,,,,
Frequencies,827,,,,,,
Frequencies,828,,,,,,
Frequencies,829,,,,,,
Frequencies,830,,,,,,
Frequencies,831,,,,,,
Frequencies,832,,,,,,
Frequencies,833,,,,,,
Frequencies,834,,,,,,
Frequencies,835,,,,,,
Frequencies,836,,,,,,
Frequencies,837,,,,,,
Frequencies,838,,,,,,
Frequencies,839,,,,,,
Frequencies,840,,,,,,
Frequencies,841,,,,,,
Frequencies,842,,,,,,
Frequencies,843,,,,,,
Frequencies,844,,,,,,
Frequencies,845,,,,,,
Frequencies,846,,,,,,
Frequencies,847,,,,,,
Frequencies,848,,,,,,
Frequencies,849,,,,,,
Frequencies,850,,,,,,
Frequencies,851,,,,,,
Frequencies,852,,,,,,
Frequencies,853,,,,,,
Frequencies,854,,,,,,
Frequencies,855,,,,,,
Frequencies,856,,,,,,
Frequencies,857,,,,,,
Frequencies,858,,,,,,
Frequencies,859,,,,,,
Frequencies,860,,,,,,
Frequencies,861,,,,,,
Frequencies,862,,,,,,
Frequencies,863,,,,,,
Frequencies,864,,,,,,
Frequencies,865,,,,,,
Frequencies,866,,,,,,
Frequencies,867,,,,,,
Frequencies,868,,,,,,
Frequencies,869,,,,,,
Frequencies,870,,,,,,
Frequencies,871,,,,,,
Frequencies,872,,,,,,
Frequencies,873,,,,,,
Frequencies,874,,,,,,
Frequencies,875,,,,,,
Frequencies,876,,,,,,
Frequencies,877,,,,,,
Frequencies,878,,,,,,
Frequencies,879,,,,,,
Frequencies,880,,,,,,
Frequencies,881,,,,,,
Frequencies,882,,,,,,
Frequencies,883,,,,,,
Frequencies,884,,,,,,
Frequencies,885,,,,,,
Frequencies,886,,,,,,
Frequencies,887,,,,,,
Frequencies,888,,,,,,
Frequencies,889,,,,,,
Frequencies,890,,,,,,
Frequencies,891,,,,,,
Frequencies,892,,,,,,
Frequencies,893,,,,,,
Frequencies,894,,,,,,
Frequencies,895,,,,,,
Frequencies,896,,,,,,
Frequencies,897,,,,,,
Frequencies,898,,,,,,
Frequencies,899,,,,,,
Frequencies,900,,,,,,
Frequencies,901,,,,,,
Frequencies,902,,,,,,
Frequencies,903,,,,,,
Frequencies,904,,,,,,
Frequencies,905,,,,,,
Frequencies,906,,,,,,
Frequencies,907,,,,,,
Frequencies,908,,,,,,
Frequencies,909,,,,,,
Frequencies,910,,,,,,
Frequencies,911,,,,,,
Frequencies,912,,,,,,
Frequencies,913,,,,,,
Frequencies,914,,,,,,
Frequencies,915,,,,,,
Frequencies,916,,,,,,
Frequencies,917,,,,,,
Frequencies,918,,,,,,
Frequencies,919,,,,,,
Frequencies,920,,,,,,
Frequencies,921,,,,,,
Frequencies,922,,,,,,
Frequencies,923,,,,,,
Frequencies,924,,,,,,
Frequencies,925,,,,,,
Frequencies,926,,,,,,
Frequencies,927,,,,,,
Frequencies,928,,,,,,
Frequencies,929,,,,,,
Frequencies,930,,,,,,
Frequencies,931,,,,,,
Frequencies,932,,,,,,
Frequencies,933,,,,,,
Frequencies,934,,,,,,
Frequencies,935,,,,,,
Frequencies,936,,,,,,
Frequencies,937,,,,,,
Frequencies,938,,,,,,
Frequencies,939,,,,,,
Frequencies,940,,,,,,
Frequencies,941,,,,,,
Frequencies,942,,,,,,
Frequencies,943,,,,,,
Frequencies,944,,,,,,
Frequencies,945,,,,,,
Frequencies,946,,,,,,
Frequencies,947,,,,,,
Frequencies,948,,,,,,
Frequencies,949,,,,,,
Frequencies,950,,,,,,
Frequencies,951,,,,,,
Frequencies,952,,,,,,
Frequencies,953,,,,,,
Frequencies,954,,,,,,
Frequencies,955,,,,,,
Frequencies,956,,,,,,
Frequencies,957,,,,,,
Frequencies,958,,,,,,
Frequencies,959,,,,,,
Frequencies,960,,,,,,
Frequencies,961,,,,,,
Frequencies,962,,,,,,
Frequencies,963,,,,,,
Frequencies,964,,,,,,
Frequencies,965,,,,,,
Frequencies,966,,,,,,
Frequencies,967,,,,,,
Frequencies,968,,,,,,
Frequencies,969,,,,,,
Frequencies,970,,,,,,
Frequencies,971,,,,,,
Frequencies,972,,,,,,
Frequencies,973,,,,,,
Frequencies,974,,,,,,
Frequencies,975,,,,,,
Frequencies,976,,,,,,
Frequencies,977,,,,,,
Frequencies,978,,,,,,
Frequencies,979,,,,,,
Frequencies,980,,,,,,
Frequencies,981,,,,,,
Frequencies,982,,,,,,
Frequencies,983,,,,,,
Frequencies,984,,,,,,
Frequencies,985,,,,,,
Frequencies,986,,,,,,
Frequencies,987,,,,,,
Frequencies,988,,,,,,
Frequencies,989,,,,,,
Frequencies,990,,,,,,
Frequencies,991,,,,,,
Frequencies,992,,,,,,
Frequencies,993,,,,,,
Frequencies,994,,,,,,
Frequencies,995,,,,,,
Frequencies,996,,,,,,
Frequencies,997,,,,,,
Frequencies,998,,,,,,
Frequencies,999,,,,,,
Frequencies,1000,,,,,,
Frequencies,1001,,,,,,
Frequencies,1002,,,,,,
Frequencies,1003,,,,,,
Frequencies,1004,,,,,,
Frequencies,1005,,,,,,
Frequencies,1006,,,,,,
Frequencies,1007,,,,,,
Frequencies,1008,,,,,,
Frequencies,1009,,,,,,
Frequencies,1010,,,,,,
Frequencies,1011,,,,,,
Frequencies,1012,,,,,,
Frequencies,1013,,,,,,
Frequencies,1014,,,,,,
Frequencies,1015,,,,,,
Frequencies,1016,,,,,,
Frequencies,1017,,,,,,
Frequencies,1018,,,,,,
Frequencies,1019,,,,,,
Frequencies,1020,,,,,,
Frequencies,1021,,,,,,
Frequencies,1022,,,,,,
Frequencies,1023,,,,,,
Frequencies,1024,,,,,,
Frequencies,1025,,,,,,
Frequencies,1026,,,,,,
Frequencies,1027,,,,,,
Frequencies,1028,,,,,,
Frequencies,1029,,,,,,
Frequencies,1030,,,,,,
Frequencies,1031,,,,,,
Frequencies,1032,,,,,,
Frequencies,1033,,,,,,
Frequencies,1034,,,,,,
Frequencies,1035,,,,,,
Frequencies,1036,,,,,,
Frequencies,1037,,,,,,
Frequencies,1038,,,,,,
Frequencies,1039,,,,,,
Frequencies,1040,,,,,,
Frequencies,1041,,,,,,
Frequencies,1042,,,,,,
Frequencies,1043,,,,,,
Frequencies,1044,,,,,,
Frequencies,1045,,,,,,
Frequencies,1046,,,,,,
Frequencies,1047,,,,,,
Frequencies,1048,,,,,,
Frequencies,1049,,,,,,
Frequencies,1050,,,,,,
Frequencies,1051,,,,,,
Frequencies,1052,,,,,,
Frequencies,1053,,,,,,
Frequencies,1054,,,,,,
Frequencies,1055,,,,,,
Frequencies,1056,,,,,,
Frequencies,1057,,,,,,
Frequencies,1058,,,,,,
Frequencies,1059,,,,,,
Frequencies,1060,,,,,,
Frequencies,1061,,,,,,
Frequencies,1062,,,,,,
Frequencies,1063,,,,,,
Frequencies,1064,,,,,,
Frequencies,1065,,,,,,
Frequencies,1066,,,,,,
Frequencies,1067,,,,,,
Frequencies,1068,,,,,,
Frequencies,1069,,,,,,
Frequencies,1070,,,,,,
Frequencies,1071,,,,,,
Frequencies,1072,,,,,,
Frequencies,1073,,,,,,
Frequencies,1074,,,,,,
Frequencies,1075,,,,,,
Frequencies,1076,,,,,,
Frequencies,1077,,,,,,
Frequencies,1078,,,,,,
Frequencies,1079,,,,,,
Frequencies,1080,,,,,,
Frequencies,1081,,,,,,
Frequencies,1082,,,,,,
Frequencies,1083,,,,,,
Frequencies,1084,,,,,,
Frequencies,1085,,,,,,
Frequencies,1086,,,,,,
Frequencies,1087,,,,,,
Frequencies,1088,,,,,,
Frequencies,1089,,,,,,
Frequencies,1090,,,,,,
Frequencies,1091,,,,,,
Frequencies,1092,,,,,,
Frequencies,1093,,,,,,
Frequencies,1094,,,,,,
Frequencies,1095,,,,,,
Frequencies,1096,,,,,,
Frequencies,1097,,,,,,
Frequencies,1098,,,,,,
Frequencies,1099,,,,,,
Frequencies,1100,,,,,,
Frequencies,1101,,,,,,
Frequencies,1102,,,,,,
Frequencies,1103,,,,,,
Frequencies,1104,,,,,,
Frequencies,1105,,,,,,
Frequencies,1106,,,,,,
Frequencies,1107,,,,,,
Frequencies,1108,,,,,,
Frequencies,1109,,,,,,
Frequencies,1110,,,,,,
Frequencies,1111,,,,,,
Frequencies,1112,,,,,,
Frequencies,1113,,,,,,
Frequencies,1114,,,,,,
Frequencies,1115,,,,,,
Frequencies,1116,,,,,,
Frequencies,1117,,,,,,
Frequencies,1118,,,,,,
Frequencies,1119,,,,,,
Frequencies,1120,,,,,,
Frequencies,1121,,,,,,
Frequencies,1122,,,,,,
Frequencies,1123,,,,,,
Frequencies,1124,,,,,,
Frequencies,1125,,,,,,
Frequencies,1126,,,,,,
Frequencies,1127,,,,,,
Frequencies,1128,,,,,,
Frequencies,1129,,,,,,
Frequencies,1130,,,,,,
Frequencies,1131,,,,,,
Frequencies,1132,,,,,,
Frequencies,1133,,,,,,
Frequencies,1134,,,,,,
Frequencies,1135,,,,,,
Frequencies,1136,,,,,,
Frequencies,1137,,,,,,
Frequencies,1138,,,,,,
Frequencies,1139,,,,,,
Frequencies,1140,,,,,,
Frequencies,1141,,,,,,
Frequencies,1142,,,,,,
Frequencies,1143,,,,,,
Frequencies,1144,,,,,,
Frequencies,1145,,,,,,
Frequencies,1146,,,,,,
Frequencies,1147,,,,,,
Frequencies,1148,,,,,,
Frequencies,1149,,,,,,
Frequencies,1150,,,,,,
Frequencies,1151,,,,,,
Frequencies,1152,,,,,,
Frequencies,1153,,,,,,
Frequencies,1154,,,,,,
Frequencies,1155,,,,,,
Frequencies,1156,,,,,,
Frequencies,1157,,,,,,
Frequencies,1158,,,,,,
Frequencies,1159,,,,,,
Frequencies,1160,,,,,,
Frequencies,1161,,,,,,
Frequencies,1162,,,,,,
Frequencies,1163,,,,,,
Frequencies,1164,,,,,,
Frequencies,1165,,,,,,
Frequencies,1166,,,,,,
Frequencies,1167,,,,,,
Frequencies,1168,,,,,,
Frequencies,1169,,,,,,
Frequencies,1170,,,,,,
Frequencies,1171,,,,,,
Frequencies,1172,,,,,,
Frequencies,1173,,,,,,
Frequencies,1174,,,,,,
Frequencies,1175,,,,,,
Frequencies,1176,,,,,,
Frequencies,1177,,,,,,
Frequencies,1178,,,,,,
Frequencies,1179,,,,,,
Frequencies,1180,,,,,,
Frequencies,1181,,,,,,
Frequencies,1182,,,,,,
Frequencies,1183,,,,,,
Frequencies,1184,,,,,,
Frequencies,1185,,,,,,
Frequencies,1186,,,,,,
Frequencies,1187,,,,,,
Frequencies,1188,,,,,,
Frequencies,1189,,,,,,
Frequencies,1190,,,,,,
Frequencies,1191,,,,,,
Frequencies,1192,,,,,,
Frequencies,1193,,,,,,
Frequencies,1194,,,,,,
Frequencies,1195,,,,,,
Frequencies,1196,,,,,,
Frequencies,1197,,,,,,
Frequencies,1198,,,,,,
Frequencies,1199,,,,,,
Frequencies,1200,,,,,,
Frequencies,1201,,,,,,
Frequencies,1202,,,,,,
Frequencies,1203,,,,,,
Frequencies,1204,,,,,,
Frequencies,1205,,,,,,
Frequencies,1206,,,,,,
Frequencies,1207,,,,,,
Frequencies,1208,,,,,,
Frequencies,1209,,,,,,
Frequencies,1210,,,,,,
Frequencies,1211,,,,,,
Frequencies,1212,,,,,,
Frequencies,1213,,,,,,
Frequencies,1214,,,,,,
Frequencies,1215,,,,,,
Frequencies,1216,,,,,,
Frequencies,1217,,,,,,
Frequencies,1218,,,,,,
Frequencies,1219,,,,,,
Frequencies,1220,,,,,,
Frequencies,1221,,,,,,
Frequencies,1222,,,,,,
Frequencies,1223,,,,,,
Frequencies,1224,,,,,,
Frequencies,1225,,,,,,
Frequencies,1226,,,,,,
Frequencies,1227,,,,,,
Frequencies,1228,,,,,,
Frequencies,1229,,,,,,
Frequencies,1230,,,,,,
Frequencies,1231,,,,,,
Frequencies,1232,,,,,,
Frequencies,1233,,,,,,
Frequencies,1234,,,,,,
Frequencies,1235,,,,,,
Frequencies,1236,,,,,,
Frequencies,1237,,,,,,
Frequencies,1238,,,,,,
Frequencies,1239,,,,,,
Frequencies,1240,,,,,,
Frequencies,1241,,,,,,
Frequencies,1242,,,,,,
Frequencies,1243,,,,,,
Frequencies,1244,,,,,,
Frequencies,1245,,,,,,
Frequencies,1246,,,,,,
Frequencies,1247,,,,,,
Frequencies,1248,,,,,,
Frequencies,1249,,,,,,
Frequencies,1250,,,,,,
Frequencies,1251,,,,,,
Frequencies,1252,,,,,,
Frequencies,1253,,,,,,
Frequencies,1254,,,,,,
Frequencies,1255,,,,,,
Frequencies,1256,,,,,,
Frequencies,1257,,,,,,
Frequencies,1258,,,,,,
Frequencies,1259,,,,,,
Frequencies,1260,,,,,,
Frequencies,1261,,,,,,
Frequencies,1262,,,,,,
Frequencies,1263,,,,,,
Frequencies,1264,,,,,,
Frequencies,1265,,,,,,
Frequencies,1266,,,,,,
Frequencies,1267,,,,,,
Frequencies,1268,,,,,,
Frequencies,1269,,,,,,
Frequencies,1270,,,,,,
Frequencies,1271,,,,,,
Frequencies,1272,,,,,,
Frequencies,1273,,,,,,
Frequencies,1274,,,,,,
Frequencies,1275,,,,,,
Frequencies,1276,,,,,,
Frequencies,1277,,,,,,
Frequencies,1278,,,,,,
Frequencies,1279,,,,,,
Frequencies,1280,,,,,,
Frequencies,1281,,,,,,
Frequencies,1282,,,,,,
Frequencies,1283,,,,,,
Frequencies,1284,,,,,,
Frequencies,1285,,,,,,
Frequencies,1286,,,,,,
Frequencies,1287,,,,,,
Frequencies,1288,,,,,,
Frequencies,1289,,,,,,
Frequencies,1290,,,,,,
Frequencies,1291,,,,,,
Frequencies,1292,,,,,,
Frequencies,1293,,,,,,
Frequencies,1294,,,,,,
Frequencies,1295,,,,,,
Frequencies,1296,,,,,,
Frequencies,1297,,,,,,
Frequencies,1298,,,,,,
Frequencies,1299,,,,,,
Frequencies,1300,,,,,,
Frequencies,1301,,,,,,
Frequencies,1302,,,,,,
Frequencies,1303,,,,,,
Frequencies,1304,,,,,,
Frequencies,1305,,,,,,
Frequencies,1306,,,,,,
Frequencies,1307,,,,,,
Frequencies,1308,,,,,,
Frequencies,1309,,,,,,
Frequencies,1310,,,,,,
Frequencies,1311,,,,,,
Frequencies,1312,,,,,,
Frequencies,1313,,,,,,
Frequencies,1314,,,,,,
Frequencies,1315,,,,,,
Frequencies,1316,,,,,,
Frequencies,1317,,,,,,
Frequencies,1318,,,,,,
Frequencies,1319,,,,,,
Frequencies,1320,,,,,,
Frequencies,1321,,,,,,
Frequencies,1322,,,,,,
Frequencies,1323,,,,,,
Frequencies,1324,,,,,,
Frequencies,1325,,,,,,
Frequencies,1326,,,,,,
Frequencies,1327,,,,,,
Frequencies,1328,,,,,,
Frequencies,1329,,,,,,
Frequencies,1330,,,,,,
Frequencies,1331,,,,,,
Frequencies,1332,,,,,,
Frequencies,1333,,,,,,
Frequencies,1334,,,,,,
Frequencies,1335,,,,,,
Frequencies,1336,,,,,,
Frequencies,1337,,,,,,
Frequencies,1338,,,,,,
Frequencies,1339,,,,,,
Frequencies,1340,,,,,,
Frequencies,1341,,,,,,
Frequencies,1342,,,,,,
Frequencies,1343,,,,,,
Frequencies,1344,,,,,,
Frequencies,1345,,,,,,
Frequencies,1346,,,,,,
Frequencies,1347,,,,,,
Frequencies,1348,,,,,,
Frequencies,1349,,,,,,
Frequencies,1350,,,,,,
Frequencies,1351,,,,,,
